timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-04"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj1-rd-geass-prod-04""}","node_load5{hostname=~""bj1-rd-geass-prod-04""}","node_load15{hostname=~""bj1-rd-geass-prod-04""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-04""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-04""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj1-rd-geass-prod-04""}[2m])","node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-04""}","node_sockstat_TCP_tw{hostname=~""bj1-rd-geass-prod-04""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-geass-prod-04""}[2m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-geass-prod-04""}[2m])","node_sockstat_TCP_alloc{hostname=~""bj1-rd-geass-prod-04""}","node_sockstat_TCP_inuse{hostname=~""bj1-rd-geass-prod-04""}","probe_duration_seconds{hostname=~""bj1-rd-geass-prod-04""}","irate(node_network_receive_bytes_total{hostname=~""bj1-rd-geass-prod-04"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-geass-prod-04"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","1-avg(irate(node_cpu_seconds_total{hostname=~""bj2-rd-geass-prod-03"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj2-rd-geass-prod-03""}","node_load5{hostname=~""bj2-rd-geass-prod-03""}","node_load15{hostname=~""bj2-rd-geass-prod-03""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj2-rd-geass-prod-03""}/node_memory_MemTotal_bytes{hostname=~""bj2-rd-geass-prod-03""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj2-rd-geass-prod-03""}[2m])","node_netstat_Tcp_CurrEstab{hostname=~""bj2-rd-geass-prod-03""}","node_sockstat_TCP_tw{hostname=~""bj2-rd-geass-prod-03""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj2-rd-geass-prod-03""}[2m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj2-rd-geass-prod-03""}[2m])","node_sockstat_TCP_alloc{hostname=~""bj2-rd-geass-prod-03""}"
1709985540,0.1453333333134652,0.2,0.37,0.42,33.64536908608421,0.2269116687648665,0.5038657463114256,0.0,1.0,0.0,0.000466666665549,0.0,17749.333333333332,470,208,3.933333333333333,0.4,497,418,0.000868482,58966925.333333336,14202861.866666667,0.0372499999900658,0.18,0.17,0.15,23.108730054311543,0.484191865153267,0.1946269745378582,0.0,0.4666666666666667,0.0,0.0003999999995964,0.0,13926.4,1296,1218,10.866666666666667,20.33333333333333,1334
1709985660,0.1260000000397365,0.61,0.48,0.45,33.428349235635615,0.2269154595213305,0.5039991136753261,0.0,3.866666666666666,0.0,0.0030000000105549,0.0,34406.4,467,193,3.2666666666666666,0.3333333333333333,493,414,0.000834863,48272667.73333333,11820812.266666668,0.0483333335568507,0.19,0.17,0.14,23.34592036356885,0.4841464732745837,0.1947305858302176,0.0,0.4,0.0,0.0002666666676911,0.0,12561.066666666668,1303,1332,13.2,20.666666666666668,1339
1709985780,0.1466666666169961,0.65,0.53,0.47,33.394235413344155,0.2269191530789107,0.5041431724469012,0.0,0.8666666666666667,0.0,0.0003333333258827,0.0,17203.2,474,199,3.4,0.3333333333333333,499,422,0.001044174,60134733.86666667,14449141.333333334,0.043166666602095,0.5,0.3,0.19,23.543468290397666,0.4841958503074983,0.1948493620199023,0.0,2.2666666666666666,0.0,0.0014666666664804,0.0,46148.26666666667,1300,1255,13.2,20.2,1337
1709985900,0.1524999998509884,0.82,0.62,0.51,33.662450970745525,0.2269244018186299,0.5042933483473053,0.2666666666666666,3.1333333333333333,0.0002666666676911,0.0028666666708886,1911.4666666666667,32768.0,474,204,4.133333333333334,0.3333333333333333,499,421,0.000881789,66059677.86666667,15102320.533333331,0.0399999999751647,0.24,0.27,0.19,23.2204025472444,0.4842343410654397,0.1949638275332511,0.0,0.7333333333333333,0.0,0.0006000000013348,0.0,37683.2,1293,1078,12.6,20.6,1329
1709986020,0.1515000000596047,0.49,0.56,0.5,33.58827962945297,0.2269280953762101,0.5044431753620349,0.0,1.2666666666666666,0.0,0.0011333333328366,0.0,20480.0,474,204,4.0,0.3333333333333333,498,421,0.000890909,58739893.333333336,14045531.2,0.0393333331992229,0.2,0.25,0.2,23.18213731954048,0.4842809965296111,0.1950942565044694,0.0,0.5333333333333333,0.0,0.0005999999974543,0.0,23210.666666666668,1296,1464,12.533333333333331,20.8,1332
1709986140,0.1421666664381822,0.16,0.42,0.46,33.59222544491567,0.2269322749282089,0.5045846291205724,0.0,3.6,0.0,0.0032666666743656,0.0,33041.066666666666,470,217,3.333333333333333,0.3333333333333333,494,417,0.000828425,59278541.333333336,13843300.8,0.0493333333482345,0.21,0.24,0.2,23.45508446753912,0.4843310539547115,0.1952180178827942,0.0,2.2,0.0,0.0078666666677842,0.0,28398.93333333333,1295,1455,12.4,20.4,1331
1709986260,0.1454999998211861,0.44,0.44,0.46,33.58378439664735,0.2269363572813238,0.5047232917937128,0.0,2.2666666666666666,0.0,0.0018666666621963,0.0,23483.733333333334,476,218,4.2,0.3333333333333333,500,423,0.0008773,57876642.66666666,14205049.066666666,0.0480833335469166,0.15,0.21,0.2,23.14527383860976,0.48437421025907,0.1953299869253155,0.0,1.3333333333333333,0.0,0.0011999999987892,0.0,27033.6,1296,1155,12.333333333333334,20.266666666666666,1331
1709986380,0.1453333335618177,0.34,0.4,0.45,33.55081935607288,0.2269400508389041,0.5048760029300194,0.0,2.6666666666666665,0.0,0.0014666666742414,0.0,23756.8,480,236,3.733333333333333,0.3333333333333333,506,429,0.000841393,59740924.266666666,14605024.533333331,0.0445833332836627,0.14,0.21,0.2,23.55202632332888,0.4844106598404538,0.195437583267381,0.0,2.333333333333333,0.0,0.0021999999997206,0.0,30856.533333333333,1285,1082,12.733333333333333,20.33333333333333,1321
1709986500,0.1353333334128061,0.81,0.51,0.47,33.3744064419683,0.2269453967775071,0.5050088741009604,0.0,4.133333333333334,0.0,0.0038000000019868,0.0,35225.6,471,204,3.1333333333333333,0.3333333333333333,498,419,0.000831184,54315795.73333333,13058075.733333332,0.0445833334078391,0.22,0.21,0.2,23.302171109015323,0.4844548853325329,0.1955541808598527,0.0,0.5333333333333333,0.0,0.0006000000013348,0.0,30037.33333333333,1283,1459,12.266666666666667,20.4,1319
1709986620,0.140333333114783,0.94,0.61,0.52,33.42894860000969,0.2269490903350873,0.5051476763283707,0.0,0.3333333333333333,0.0,0.0001333333396663,0.0,15291.733333333334,474,205,3.6666666666666665,0.3333333333333333,501,421,0.000848454,53939460.266666666,13406640.0,0.0415833335369825,0.03,0.14,0.18,23.10536094364609,0.4845015407967042,0.1956695999940456,0.0,2.8666666666666667,0.0,0.002599999999317,0.0,24576.0,1290,1378,12.266666666666667,20.266666666666666,1327
