timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-ylint-prod-01"", mode=~""idle""}[1m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-ylint-prod-01""}","node_load5{hostname=~""bj3-rd-ylint-prod-01""}","node_load15{hostname=~""bj3-rd-ylint-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-ylint-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-ylint-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-ylint-prod-01""}","probe_duration_seconds{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1694070252,0.3156666665027539,1.73,3.14,4.1,27.21574146929101,0.6231176464184545,0.44990318437544796,2.3333333333333335,2.933333333333333,0.001933333333969737,0.00259999999931703,9557.333333333334,34133.333333333336,276,101,1.8,3.4,326,264,0.000521069,179384.53333333333,391762.6666666667
1694070372,0.43847102762329804,2.4,2.82,3.87,29.02444750760964,0.6234422906899799,0.4515326558643885,103.08728412349137,1.933720077348803,0.2335133693410471,0.0010002000409395104,3560955.3910782156,29770.22071080883,271,141,2.2004400880176034,3.2673201306928052,321,262,0.00035392,30554557.311462294,4767480.9628592385
1694070492,0.17483333324392636,1.97,2.88,3.79,27.806757988906227,0.6231227979592899,0.4526930697853775,1.4666666666666666,0.8666666666666667,0.0009333333330384145,0.000599999997454385,6007.466666666666,24029.866666666665,276,97,1.8666666666666667,3.1333333333333333,326,263,0.000305214,169460386.13333333,1861340.2666666666
1694070612,0.7837499998509884,5.81,3.92,4.05,28.265350102210363,0.6231984186908011,0.4540062356367277,2.2,4.4,0.005799999999968956,0.004066666665797432,41779.2,40960,278,173,6.666666666666667,3.2,328,265,0.000310994,47011726.93333333,7682843.2
1694070732,0.4449166665474573,3.99,3.62,3.91,32.19523838345578,0.6232271895603734,0.45534298362347536,10.466666666666667,4.4,0.045666666666511445,0.007866666667784255,190327.46666666667,120695.46666666666,283,285,6,3.4,336,271,0.00041045,197640801.06666666,2784329.066666667
1694070852,0.4246666668603818,4.49,3.72,3.9,28.2246416780071,0.6232281615492102,0.4573260166094043,2.1333333333333333,5.2,0.0021333333337679506,0.004266666667535901,9284.266666666666,53521.066666666666,276,187,2.4,3.2666666666666666,326,262,0.000324096,43739973.333333336,20534684.266666666
1694070972,0.43683333322405815,7.14,5.61,4.61,28.010617381813784,0.6232302027257677,0.4585784975589573,0.13333333333333333,1.3333333333333333,0.00013333333384556075,0.0011333333328366279,819.2,27033.6,279,198,2.6666666666666665,3.1333333333333333,329,263,0.000357348,16506000,905604.8
1694071092,0.20799999994536245,4.5,5.01,4.5,26.68795967815939,0.6232323411012088,0.45973191764917554,0.13333333333333333,1.2,0,0.000599999997454385,546.1333333333333,26487.466666666667,282,195,2.066666666666667,3.2,332,266,0.000358473,53418782.4,2584240
1694071212,0.1693333332737288,3.31,4.43,4.36,26.36897939978016,0.6233076702360689,0.4606722594161554,0.4,2.466666666666667,0.0003999999995964269,0.0012666666647419334,4915.2,33314.13333333333,278,103,2.066666666666667,3.2,328,265,0.000361303,38676232,929589.3333333334
1694071332,0.1944999997814496,2.34,3.86,4.17,27.279989027273665,0.6233101002081611,0.46158836404225145,1.0666666666666667,1.2,0.0009999999989910673,0.0007999999991928538,15018.666666666666,29491.2,270,131,2.066666666666667,3.1333333333333333,320,258,0.000335334,24987661.333333332,749694.9333333333
