timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-rttax-prod-03"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-rttax-prod-03""}","node_load5{hostname=~""bj3-rd-rttax-prod-03""}","node_load15{hostname=~""bj3-rd-rttax-prod-03""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-rttax-prod-03""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-rttax-prod-03""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-rttax-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-rttax-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-rttax-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-rttax-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-rttax-prod-03""}[2m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-rttax-prod-03""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-rttax-prod-03""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-rttax-prod-03""}[2m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-rttax-prod-03""}[2m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-rttax-prod-03""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-rttax-prod-03""}","probe_duration_seconds{hostname=~""bj3-rd-rttax-prod-03""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-rttax-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-rttax-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-rttax-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-rttax-prod-02""}","node_load5{hostname=~""bj3-rd-rttax-prod-02""}","node_load15{hostname=~""bj3-rd-rttax-prod-02""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-rttax-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-rttax-prod-02""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-rttax-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-rttax-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-rttax-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-rttax-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-rttax-prod-02""}[2m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-rttax-prod-02""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-rttax-prod-02""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-rttax-prod-02""}[2m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-rttax-prod-02""}[2m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-rttax-prod-02""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-rttax-prod-02""}","probe_duration_seconds{hostname=~""bj3-rd-rttax-prod-02""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-rttax-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-rttax-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1710242792,0.0369999997317791,0.03,0.07,0.12,23.50442283758518,0.1501704538128992,0.5364604292317197,0.0,0.4666666666666667,0.0,0.0002000000017384,0.0,5734.4,421,862,6.6,15.2,468,376,0.000278967,6161704.0,2713148.2666666666,0.0323333334177733,0.02,0.07,0.07,24.84553888324488,0.5656208131580851,0.1050522367138132,0.0,2.4,0.0,0.0008666666666006,0.0,25122.13333333333,453,874,7.666666666666667,24.2,481,256,0.000300326,3304699.7333333334,1662055.4666666666
1710242912,0.0358333331843216,0.12,0.09,0.12,23.49770945924844,0.150171132390367,0.5364647399080554,0.0,0.3333333333333333,0.0,0.0001333333241442,0.0,2730.6666666666665,415,862,6.066666666666666,15.0,462,374,0.000346781,6043203.2,2677871.466666667,0.0288333333407839,0.05,0.07,0.06,24.85577801952129,0.5656225627379914,0.1050654400983454,0.0,0.7333333333333333,0.0,0.0003333333331587,0.0,10649.6,452,883,7.733333333333333,24.266666666666666,480,255,0.000324688,2874392.0,1462086.4
1710243032,0.0375,0.03,0.07,0.12,23.465863946625444,0.1501714232092816,0.5364691978916761,0.0,3.1333333333333333,0.0,0.0018000000156462,0.0,17476.266666666666,422,855,6.466666666666667,15.133333333333333,469,379,0.000341621,6554154.666666667,2872506.6666666665,0.0281666666890183,0.03,0.07,0.06,24.85982372702562,0.5656244095167815,0.1050783101032329,0.0,2.2,0.0,0.0005999999998797,0.0,20480.0,460,881,7.8,24.866666666666667,488,261,0.000335543,2824831.466666667,1444942.933333333
1710243152,0.0373333337406317,0.11,0.09,0.12,23.495594622116723,0.1501717463414091,0.5364736248632368,0.0,0.4,0.0,0.0001333333551883,0.0,3549.866666666667,421,858,6.4,15.266666666666667,468,377,0.000283137,6131617.066666666,2723304.0,0.0288333333407839,0.0,0.04,0.05,24.851482576985816,0.565626159096688,0.1050917460782149,0.0,2.533333333333333,0.0,0.0011333333333216,0.0,19387.733333333334,455,861,7.866666666666666,24.4,483,257,0.000285851,2940395.7333333334,1491460.2666666666
1710243272,0.0309999999900658,0.18,0.12,0.13,22.61746998099352,0.1502001173422007,0.5364896425922112,0.0,3.066666666666667,0.0,0.0014000000121692,0.0,17749.333333333332,386,791,6.733333333333333,15.2,430,345,0.00033063,1731698.6666666667,2481505.6,0.0273333332811793,0.0,0.03,0.05,24.90602470778504,0.5656282002732456,0.1051049029446571,0.0,0.8,0.0,0.0003999999995964,0.0,13653.333333333334,452,871,8.2,24.4,480,255,0.000262141,2498083.2,1328018.1333333333
1710243392,0.0201666665573915,0.2,0.12,0.13,22.387346191707035,0.150200392004509,0.5364906504841602,0.0,0.4,0.0,0.0001333333241442,0.0,3549.866666666667,381,753,5.466666666666667,15.0,425,339,0.000319524,409934.4,406086.93333333335,0.0283333333830038,0.0,0.02,0.05,24.943584856467293,0.5656325742230115,0.1051181916123542,0.0,0.8,0.0,0.0003333333336437,0.0,13380.266666666666,451,862,7.8,24.33333333333333,479,255,0.000286141,2709168.533333333,1406705.6
1710243512,0.0201666665573915,0.1,0.1,0.13,22.350213586254743,0.150201038268764,0.5364925034547434,0.0,2.6666666666666665,0.0,0.001333333334575,0.0,15564.8,384,758,5.4,15.2,428,341,0.000340189,402414.93333333335,405914.13333333336,0.0256666666517655,0.0,0.01,0.05,24.820265698094325,0.5656344210018016,0.1051312244305565,0.0,2.4,0.0,0.0007333333332402,0.0,18022.4,453,867,7.733333333333333,24.133333333333333,481,255,0.000286894,2346990.4,1257192.0
1710243632,0.0216666668653487,0.11,0.11,0.13,22.337499972334985,0.1502013290876788,0.5364936509009623,0.0,4.266666666666667,0.0,0.0014666666897634,0.0,28945.066666666666,381,748,5.4,15.133333333333333,425,340,0.00035396,463782.93333333335,428713.6,0.0273333332811792,0.0,0.01,0.05,24.8355494819996,0.5656361705817081,0.1051436370075594,0.0,0.5333333333333333,0.0,0.0002666666667209,0.0,9557.333333333334,455,871,7.733333333333333,24.53333333333333,483,256,0.000284796,2530372.8,1346190.4
1710243752,0.0203333335618178,0.03,0.08,0.13,22.34883648300617,0.1502016037499871,0.5364937982082472,0.0,0.4,0.0,0.0001333333241442,0.0,3003.733333333333,381,742,5.333333333333333,14.933333333333334,425,340,0.000351316,417162.6666666667,416657.06666666665,0.0281666666269302,0.13,0.07,0.06,24.78889897818415,0.5656382117582657,0.1051568171330467,0.0,2.0,0.0,0.0002666666667209,0.0,19387.733333333334,453,848,7.8,24.2,481,257,0.001250281,2740433.066666667,1429227.2
1710243872,0.020833333581686,0.07,0.07,0.12,22.359213939629274,0.1502018622556891,0.5364944184494467,0.0,0.2666666666666666,0.0,0.0001333333551883,0.0,2457.6,384,738,5.4,15.266666666666667,428,342,0.001016959,402948.8,412142.93333333335,0.0260000000397364,0.1,0.07,0.06,24.90952099822089,0.5656400585370558,0.1051704391803884,0.0,0.6,0.0,0.0003333333336437,0.0,9830.4,453,849,8.333333333333334,24.066666666666663,481,257,0.000665785,2519926.933333333,1324513.066666667
